0.0	    18.48
0.5	    17.92
1.0	    17.19
1.5	    17.31
2.0	    17.19
2.5	    17.48
3.0	    17.33
3.5	    17.24
4.0	    17.29
4.5	    17.43
5.0	    17.68
5.5	    18.12
6.0	    18.16
6.5	    18.12
7.0	    18.14
7.5	    18.14
8.0	    18.43
8.5	    18.38
9.0	    18.43
9.5	    18.38
10.0	18.55
10.5	18.53
11.0	18.55
11.5	18.60
12.0	18.70
12.5	18.70
13.0	18.68
13.5	18.73
14.0	18.90
14.5	18.90
15.0	18.85
15.5	18.92
16.0	19.02
16.5	18.99
17.0	19.04
17.5	18.99
18.0	19.04
18.5	19.12
19.0	18.95
19.5	19.07
20.0	19.12
20.5	19.02
21.0	19.02
21.5	18.95
22.0	19.14
22.5	19.09
23.0	19.09
23.5	19.12
24.0	19.29
24.5	19.12
25.0	19.41
25.5	19.53
26.0	19.24
26.5	19.31
27.0	19.21
27.5	19.34
28.0	19.24
28.5	19.24
29.0	19.26
29.5	19.26
30.0	19.34
30.5	19.21
31.0	19.36
31.5	19.46
32.0	19.04
32.5	19.41
33.0	19.19
33.5	19.38
34.0	19.51
34.5	20.12
35.0	19.46
35.5	19.07
36.0	19.19
36.5	19.02
37.0	19.56
37.5	19.41
38.0	18.99
38.5	19.14
39.0	18.95
39.5	19.56
40.0	19.38
40.5	19.95
41.0	19.36
41.5	19.48
42.0	19.43
42.5	19.60
43.0	19.53
43.5	19.24
44.0	19.82
44.5	19.48
45.0	19.51
45.5	19.36
46.0	19.46
46.5	19.46
47.0	19.46
47.5	19.63
48.0	19.70
48.5	19.63
49.0	19.63
49.5	19.73
50.0	19.75
50.5	19.90
51.0	19.60
51.5	19.78
52.0	19.68
52.5	19.34
53.0	19.82
53.5	19.68
54.0	19.75
54.5	19.63
55.0	20.04
55.5	20.00
56.0	19.92
56.5	19.90
57.0	19.92
57.5	20.36
58.0	20.04
58.5	19.75
59.0	19.82
59.5	19.95
60.0	20.07
60.5	20.17
61.0	19.78
61.5	19.85
62.0	19.97
62.5	20.31
63.0	20.34
63.5	20.56
64.0	20.51
64.5	20.56
65.0	20.48
65.5	20.61
66.0	20.56
66.5	20.70
67.0	20.87
67.5	20.61
68.0	20.95
68.5	20.75
69.0	20.58
69.5	20.68
70.0	20.85
70.5	20.70
71.0	20.65
71.5	20.61
72.0	20.73
72.5	20.61
73.0	20.51
73.5	20.63
74.0	20.58
74.5	20.63
75.0	20.85
75.5	20.90
76.0	21.07
76.5	20.90
77.0	20.85
77.5	20.63
78.0	21.02
78.5	20.65
79.0	20.70
79.5	20.58
80.0	20.78
80.5	20.73
81.0	20.70
81.5	20.83
82.0	20.92
82.5	20.90
83.0	21.41
83.5	20.90
84.0	21.00
84.5	20.92
85.0	21.09
85.5	20.95
86.0	20.90
86.5	20.85
87.0	20.90
87.5	21.34
88.0	20.92
88.5	21.02
89.0	20.92
89.5	20.90
90.0	20.97
90.5	21.02
91.0	20.90
91.5	20.90
92.0	20.87
92.5	20.97
93.0	20.90
93.5	20.85
94.0	20.85
94.5	21.46
95.0	21.02
95.5	21.04
96.0	21.07
96.5	21.02
97.0	21.36
97.5	21.04
98.0	21.09
98.5	21.07
99.0	21.36
99.5	21.46
100.0	21.66
100.5	21.12
101.0	21.34
101.5	21.26
102.0	21.29
102.5	21.09
103.0	21.19
103.5	21.31
104.0	21.29
104.5	21.24
105.0	21.07
105.5	21.14
106.0	21.31
106.5	21.04
107.0	21.02
107.5	21.02
108.0	20.90
108.5	21.00
109.0	20.80
109.5	20.80
110.0	21.09
110.5	20.85
111.0	20.70
111.5	20.78
112.0	20.83
112.5	20.92
113.0	20.83
113.5	20.68
114.0	20.85
114.5	20.80
